"alpha"	"delta"	"mig"	"cost"	"mu"	"sigma"	"gen"	"popsize"	"nsampled"	"seed"	"generation"	"param"	"Individual"	"Param_value"
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	10	"slope"	"Ind1"	0.00339101
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	10	"slope"	"Ind2"	-0.000321096
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	10	"slope"	"Ind3"	0
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	10	"slope"	"Ind4"	0
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	10	"slope"	"Ind5"	0
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	10	"slope"	"Ind6"	0
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	10	"slope"	"Ind7"	0
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	10	"slope"	"Ind8"	0
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	10	"slope"	"Ind9"	0
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	10	"slope"	"Ind10"	0
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	10	"slope"	"Ind11"	0
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	10	"slope"	"Ind12"	0
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	10	"slope"	"Ind13"	0
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	10	"slope"	"Ind14"	0
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	10	"slope"	"Ind15"	0
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	10	"slope"	"Ind16"	0
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	10	"slope"	"Ind17"	0
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	10	"slope"	"Ind18"	0
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	10	"slope"	"Ind19"	0
